entity,entity_dir,algorithm,track,level,n_replicates,n_pixels,coverage,median_width,mean_width,median_signed_diff,mean_abs_diff,frac_diff_gt_0p1
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,upstream_only,10,30,48267,0.6522054405701618,0.022020617127418485,0.02495973626793865,-7.382531960808958e-05,0.005835736307893421,0.0
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,upstream_only,20,30,48267,0.5189674104460604,0.02758910655975344,0.027751169560552885,-0.003397272527217887,0.009794514724505548,0.0
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,combined,3,30,48267,0.8942755920193921,0.04423608118668198,0.14271458429931605,-0.001176201606479783,0.03361038468679689,0.10185012534443823
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,combined,10,30,48267,0.8567758509955041,0.053698074957355846,0.15295299031281698,-0.0027143484602371853,0.038258710920276114,0.11790664429113058
Procambarus clarkii (alien),Procambarus_clarkii_alien,xgboost,combined,20,30,48267,0.8057886340563947,0.06093871593475341,0.16022367184353137,-0.003918580276270707,0.04565995029136473,0.1429962500258976
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,local_only,3,30,19320,0.9160455486542443,0.03419999999999999,0.10128588049173336,-0.0004,0.021304155094771036,0.036853002070393374
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,local_only,10,30,19320,0.9109213250517598,0.03529166666666666,0.10357868373303426,-0.000433333333333355,0.02229276351930027,0.041770186335403726
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,local_only,20,30,19320,0.898343685300207,0.036206249999999995,0.10521433742277103,-0.0004,0.02444401137210118,0.04886128364389234
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,upstream_only,3,30,19320,1.0,0.04365432595677643,0.04776942944503586,0.0040455462291439925,0.010103724580142782,0.00036231884057971015
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,upstream_only,10,30,19320,1.0,0.042330568609850516,0.05197761323491915,0.0056649310730041424,0.014022567800937968,0.0006728778467908902
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,upstream_only,20,30,19320,0.9588509316770186,0.05240803966566654,0.053456029950642955,0.005464742616582696,0.013261437355003073,0.0006728778467908902
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,combined,3,30,19320,0.9160455486542443,0.03419999999999999,0.10128588049173336,-0.0004,0.021304155094771036,0.036853002070393374
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,combined,10,30,19320,0.9109213250517598,0.03529166666666666,0.10357868373303426,-0.000433333333333355,0.02229276351930027,0.041770186335403726
Procambarus clarkii (native),Procambarus_clarkii_native,random_forest,combined,20,30,19320,0.898343685300207,0.036206249999999995,0.10521433742277103,-0.0004,0.02444401137210118,0.04886128364389234
Procambarus clarkii (native),Procambarus_clarkii_native,xgboost,local_only,3,30,19320,0.8981884057971015,0.0031342510235845104,0.11311579208517834,-5.3611823386745517e-05,0.026301250372151152,0.0806935817805383
Procambarus clarkii (native),Procambarus_clarkii_native,xgboost,local_only,10,30,19320,0.895703933747412,0.003417081300358403,0.11553822741793178,-8.832161486983147e-05,0.02730717644186196,0.08152173913043478
