entity,algorithm,track,level,n_pixels_total,n_basins,coverage_uncorrected,coverage_conformal,median_width_uncorrected,median_width_conformal,median_q_hat,coverage_gap_pre,coverage_gap_post,width_inflation_factor
Pontastacus leptodactylus (pooled),random_forest,local_only,10,22945,112,0.9038134669862715,0.9497494007409022,0.21810107137322854,0.2583107052803979,0.020275000000000015,0.04618653301372844,0.00025059925909776126,1.1843623859983707
Pontastacus leptodactylus (pooled),random_forest,local_only,20,22945,112,0.8660710394421443,0.9477881891479625,0.22787842742652364,0.3013419970495353,0.03755,0.0839289605578557,0.002211810852037477,1.3223805362036694
Pontastacus leptodactylus (pooled),random_forest,upstream_only,3,22945,112,0.9966441490520811,0.9966441490520811,0.045867318647212316,0.045867318647212316,0.0,-0.04664414905208114,-0.04664414905208114,1.0
Pontastacus leptodactylus (pooled),random_forest,upstream_only,10,22945,112,0.9966441490520811,0.9966441490520811,0.04662293497522934,0.04662293497522934,0.0,-0.04664414905208114,-0.04664414905208114,1.0
Pontastacus leptodactylus (pooled),random_forest,upstream_only,20,22945,112,1.0,1.0,0.05345941898514006,0.05345941898514006,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Pontastacus leptodactylus (pooled),random_forest,combined,3,22945,112,0.9097406842449335,0.9502723904990193,0.20158647265804697,0.2351825469661752,0.016624999999999994,0.04025931575506647,-0.0002723904990193926,1.1666583767508922
Pontastacus leptodactylus (pooled),random_forest,combined,10,22945,112,0.9038134669862715,0.9497494007409022,0.21810107137322854,0.2583107052803979,0.020275000000000015,0.04618653301372844,0.00025059925909776126,1.1843623859983707
Pontastacus leptodactylus (pooled),random_forest,combined,20,22945,112,0.8660710394421443,0.9477881891479625,0.22787842742652364,0.3013419970495353,0.03755,0.0839289605578557,0.002211810852037477,1.3223805362036694
Pontastacus leptodactylus (pooled),xgboost,local_only,3,22945,112,0.8760078448463717,0.9501416430594901,0.2322861344326673,0.2547627874568432,0.011024190718308093,0.07399215515362823,-0.00014164305949015965,1.0967627838789114
Pontastacus leptodactylus (pooled),xgboost,local_only,10,22945,112,0.8393985617781652,0.9474831117890608,0.2759825071443633,0.31115329670705183,0.017935199663043022,0.11060143822183477,0.0025168882109392055,1.127438474005496
Pontastacus leptodactylus (pooled),xgboost,local_only,20,22945,112,0.7715406406624536,0.9446938330791022,0.30389705265521305,0.3723984446240631,0.03540726182982326,0.1784593593375463,0.0053061669208978035,1.2254098595900778
Pontastacus leptodactylus (pooled),xgboost,upstream_only,3,22945,112,0.9994770102418827,0.9994770102418827,0.045721347445423596,0.045721347445423596,0.0,-0.04947701024188278,-0.04947701024188278,1.0
Pontastacus leptodactylus (pooled),xgboost,upstream_only,10,22945,112,0.9966441490520811,0.9966441490520811,0.04802614099561427,0.04802614099561427,0.0,-0.04664414905208114,-0.04664414905208114,1.0
Pontastacus leptodactylus (pooled),xgboost,upstream_only,20,22945,112,0.9994770102418827,0.9994770102418827,0.05272641236598545,0.05272641236598545,0.0,-0.04947701024188278,-0.04947701024188278,1.0
Pontastacus leptodactylus (pooled),xgboost,combined,3,22945,112,0.8760078448463717,0.9501416430594901,0.2322861344326673,0.2547627874568432,0.011024190718308093,0.07399215515362823,-0.00014164305949015965,1.0967627838789114
Pontastacus leptodactylus (pooled),xgboost,combined,10,22945,112,0.8393985617781652,0.9474831117890608,0.2759825071443633,0.31115329670705183,0.017935199663043022,0.11060143822183477,0.0025168882109392055,1.127438474005496
Pontastacus leptodactylus (pooled),xgboost,combined,20,22945,112,0.7715406406624536,0.9446938330791022,0.30389705265521305,0.3723984446240631,0.03540726182982326,0.1784593593375463,0.0053061669208978035,1.2254098595900778
Procambarus clarkii (alien),random_forest,local_only,3,48267,405,0.9097105682971802,0.9531356827646218,0.15378349453486406,0.16577229378348807,0.005250000000000005,0.040289431702819734,-0.003135682764621839,1.0779589466664514
Procambarus clarkii (alien),random_forest,local_only,10,48267,405,0.9054219238817411,0.9530320923198045,0.1685654026836009,0.18326031331957718,0.006325000000000025,0.044578076118258814,-0.0030320923198045024,1.0871763149616105
Procambarus clarkii (alien),random_forest,local_only,20,48267,405,0.8816789939295999,0.9528041933412063,0.17919503971912518,0.20418977279614617,0.010349999999999998,0.06832100607040004,-0.002804193341206296,1.1394833981799852
Procambarus clarkii (alien),random_forest,upstream_only,3,48267,405,1.0,1.0,0.02314729697838475,0.02314729697838475,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Procambarus clarkii (alien),random_forest,upstream_only,10,48267,405,0.6522054405701618,1.0,0.022353615835913283,0.02386657692675904,0.0007564805454228773,0.2977945594298381,-0.050000000000000044,1.067683058613499
Procambarus clarkii (alien),random_forest,upstream_only,20,48267,405,0.6522054405701618,1.0,0.027079776161039605,0.03468994655412092,0.0038050851965406585,0.2977945594298381,-0.050000000000000044,1.2810278175057543
Procambarus clarkii (alien),random_forest,combined,3,48267,405,0.9097105682971802,0.9531356827646218,0.15378349453486406,0.16577229378348807,0.005250000000000005,0.040289431702819734,-0.003135682764621839,1.0779589466664514
Procambarus clarkii (alien),random_forest,combined,10,48267,405,0.9054219238817411,0.9530320923198045,0.1685654026836009,0.18326031331957718,0.006325000000000025,0.044578076118258814,-0.0030320923198045024,1.0871763149616105
Procambarus clarkii (alien),random_forest,combined,20,48267,405,0.8816789939295999,0.9528041933412063,0.17919503971912518,0.20418977279614617,0.010349999999999998,0.06832100607040004,-0.002804193341206296,1.1394833981799852
Procambarus clarkii (alien),xgboost,local_only,3,48267,405,0.8942755920193921,0.9523069592060829,0.12366103893122689,0.13338818244055653,0.003523328900337297,0.05572440798060785,-0.002306959206082926,1.0786597265670663
Procambarus clarkii (alien),xgboost,local_only,10,48267,405,0.8567758509955041,0.951353927113763,0.13212249917067806,0.15346492440273724,0.007891508564353,0.09322414900449583,-0.0013539271137630315,1.1615351311549797
Procambarus clarkii (alien),xgboost,local_only,20,48267,405,0.8057886340563947,0.9508152568007127,0.13825374873566879,0.18640633101433224,0.01882560476660733,0.14421136594360529,-0.0008152568007127048,1.3482913318374297
Procambarus clarkii (alien),xgboost,upstream_only,3,48267,405,1.0,1.0,0.023365694880136654,0.023365694880136654,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Procambarus clarkii (alien),xgboost,upstream_only,10,48267,405,0.6522054405701618,1.0,0.02151728568395909,0.02417338786444005,0.0013280510902404785,0.2977945594298381,-0.050000000000000044,1.1234403920407607
Procambarus clarkii (alien),xgboost,upstream_only,20,48267,405,0.5189674104460604,1.0,0.026918839355222757,0.03573222651075569,0.004406693577766463,0.4310325895539395,-0.050000000000000044,1.3274059122397848
Procambarus clarkii (alien),xgboost,combined,3,48267,405,0.8942755920193921,0.9523069592060829,0.12366103893122689,0.13338818244055653,0.003523328900337297,0.05572440798060785,-0.002306959206082926,1.0786597265670663
Procambarus clarkii (alien),xgboost,combined,10,48267,405,0.8567758509955041,0.951353927113763,0.13212249917067806,0.15346492440273724,0.007891508564353,0.09322414900449583,-0.0013539271137630315,1.1615351311549797
Procambarus clarkii (alien),xgboost,combined,20,48267,405,0.8057886340563947,0.9508152568007127,0.13825374873566879,0.18640633101433224,0.01882560476660733,0.14421136594360529,-0.0008152568007127048,1.3482913318374297
Procambarus clarkii (native),random_forest,local_only,3,19320,49,0.9160455486542443,0.966407867494824,0.06732727924430641,0.083577237836439,0.0034500000000000017,0.0339544513457557,-0.016407867494824036,1.2413577197018069
Procambarus clarkii (native),random_forest,local_only,10,19320,49,0.9109213250517598,0.966304347826087,0.0673371577565809,0.08864920227003843,0.004300000000000026,0.03907867494824013,-0.01630434782608703,1.3164975360335087
Procambarus clarkii (native),random_forest,local_only,20,19320,49,0.898343685300207,0.9608695652173913,0.06886545645703931,0.08934456092563836,0.006350000000000008,0.05165631469979293,-0.010869565217391353,1.297378475685769
Procambarus clarkii (native),random_forest,upstream_only,3,19320,49,1.0,1.0,0.04283412051691423,0.04283412051691423,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Procambarus clarkii (native),random_forest,upstream_only,10,19320,49,1.0,1.0,0.04190428091239225,0.04190428091239225,0.0,-0.050000000000000044,-0.050000000000000044,1.0
Procambarus clarkii (native),random_forest,upstream_only,20,19320,49,0.9588509316770186,0.9588509316770186,0.05113319067987502,0.05113319067987502,0.0,-0.00885093167701867,-0.00885093167701867,1.0
Procambarus clarkii (native),random_forest,combined,3,19320,49,0.9160455486542443,0.966407867494824,0.06732727924430641,0.083577237836439,0.0034500000000000017,0.0339544513457557,-0.016407867494824036,1.2413577197018069
Procambarus clarkii (native),random_forest,combined,10,19320,49,0.9109213250517598,0.966304347826087,0.0673371577565809,0.08864920227003843,0.004300000000000026,0.03907867494824013,-0.01630434782608703,1.3164975360335087
Procambarus clarkii (native),random_forest,combined,20,19320,49,0.898343685300207,0.9608695652173913,0.06886545645703931,0.08934456092563836,0.006350000000000008,0.05165631469979293,-0.010869565217391353,1.297378475685769
